"lambda_","max_iters","gamma","categorical_subsets","standardize","nan_threshold_percentage","nan_replacement_type","extrema_clip_percentage","non_informative_threshold","feature_augmentation","poly_max_degree","ihs","sine","sinh","cosine","cosh","exp","abs","seed","test_accuracies"
1e-05,3000,0.01,"[[0, 1, 2, 3]]",True,0.7666666666666666,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.744, 0.708, 0.772, 0.742, 0.776, 0.77, 0.73, 0.738, 0.754, 0.774]"
1e-05,3000,0.01,"[[0, 1, 2, 3]]",True,0.9,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.742, 0.708, 0.772, 0.74, 0.78, 0.77, 0.73, 0.742, 0.754, 0.772]"
1e-05,3000,0.01,"[[0, 1, 2, 3]]",True,0.9,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.744, 0.708, 0.772, 0.742, 0.776, 0.77, 0.73, 0.738, 0.754, 0.774]"
1e-05,3000,0.1,"[[0, 1, 2, 3]]",True,0.5,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.738, 0.686, 0.732, 0.692, 0.726, 0.718, 0.652, 0.662, 0.726, 0.728]"
1e-05,3000,0.1,"[[0, 1, 2, 3]]",True,0.5,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.738, 0.69, 0.73, 0.7, 0.726, 0.72, 0.66, 0.656, 0.726, 0.73]"
1e-05,3000,0.1,"[[0, 1, 2, 3]]",True,0.6333333333333333,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.738, 0.686, 0.732, 0.692, 0.726, 0.718, 0.652, 0.662, 0.726, 0.728]"
1e-05,3000,0.1,"[[0, 1, 2, 3]]",True,0.6333333333333333,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.738, 0.69, 0.73, 0.7, 0.726, 0.72, 0.66, 0.656, 0.726, 0.73]"
1e-05,3000,0.1,"[[0, 1, 2, 3]]",True,0.7666666666666666,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.746, 0.682, 0.702, 0.706, 0.746, 0.72, 0.696, 0.686, 0.722, 0.746]"
1e-05,3000,0.1,"[[0, 1, 2, 3]]",True,0.7666666666666666,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.75, 0.682, 0.71, 0.718, 0.742, 0.722, 0.696, 0.694, 0.722, 0.75]"
1e-05,3000,0.1,"[[0, 1, 2, 3]]",True,0.9,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.746, 0.682, 0.702, 0.706, 0.746, 0.72, 0.696, 0.686, 0.722, 0.746]"
1e-05,3000,0.1,"[[0, 1, 2, 3]]",True,0.9,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.75, 0.682, 0.71, 0.718, 0.742, 0.722, 0.696, 0.694, 0.722, 0.75]"
1e-05,3000,1.0,"[[0, 1, 2, 3]]",True,0.5,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.692, 0.702, 0.67, 0.696, 0.762, 0.72, 0.636, 0.662, 0.652, 0.732]"
1e-05,3000,1.0,"[[0, 1, 2, 3]]",True,0.5,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.684, 0.68, 0.612, 0.698, 0.742, 0.696, 0.614, 0.642, 0.674, 0.726]"
1e-05,3000,1.0,"[[0, 1, 2, 3]]",True,0.6333333333333333,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.692, 0.702, 0.67, 0.696, 0.762, 0.72, 0.636, 0.662, 0.652, 0.732]"
1e-05,3000,1.0,"[[0, 1, 2, 3]]",True,0.6333333333333333,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.684, 0.68, 0.612, 0.698, 0.742, 0.696, 0.614, 0.642, 0.674, 0.726]"
1e-05,3000,1.0,"[[0, 1, 2, 3]]",True,0.7666666666666666,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.754, 0.632, 0.696, 0.704, 0.736, 0.742, 0.67, 0.642, 0.684, 0.746]"
1e-05,3000,1.0,"[[0, 1, 2, 3]]",True,0.7666666666666666,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.728, 0.674, 0.704, 0.696, 0.756, 0.698, 0.63, 0.684, 0.694, 0.76]"
1e-05,3000,1.0,"[[0, 1, 2, 3]]",True,0.9,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.754, 0.632, 0.696, 0.704, 0.736, 0.742, 0.67, 0.642, 0.684, 0.746]"
1e-05,3000,1.0,"[[0, 1, 2, 3]]",True,0.9,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.728, 0.674, 0.704, 0.696, 0.756, 0.698, 0.63, 0.684, 0.694, 0.76]"
1e-05,3200,0.0001,"[[0, 1, 2, 3]]",True,0.5,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.668, 0.676, 0.722, 0.72, 0.736, 0.708, 0.678, 0.718, 0.674, 0.73]"
1e-05,3200,0.0001,"[[0, 1, 2, 3]]",True,0.5,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.668, 0.676, 0.72, 0.722, 0.738, 0.706, 0.678, 0.72, 0.674, 0.728]"
1e-05,3200,0.0001,"[[0, 1, 2, 3]]",True,0.6333333333333333,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.668, 0.676, 0.722, 0.72, 0.736, 0.708, 0.678, 0.718, 0.674, 0.73]"
1e-05,3200,0.0001,"[[0, 1, 2, 3]]",True,0.6333333333333333,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.668, 0.676, 0.72, 0.722, 0.738, 0.706, 0.678, 0.72, 0.674, 0.728]"
1e-05,3200,0.0001,"[[0, 1, 2, 3]]",True,0.7666666666666666,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.678, 0.7, 0.738, 0.738, 0.748, 0.726, 0.692, 0.716, 0.696, 0.758]"
1e-05,3200,0.0001,"[[0, 1, 2, 3]]",True,0.7666666666666666,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.676, 0.694, 0.73, 0.742, 0.742, 0.714, 0.688, 0.716, 0.696, 0.75]"
